"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","eval_acc","sample","regularization"
"BinOCT","spect",134,"4",0,3600,107,12.99999999732,0.902985074626866,0.901538461511228,1690942,3600,0,0,0,0,0.73134328358209,0.772727272727273,"2",FALSE
"BinOCT","spect",134,"4",0,3600,107,10.999999998,0.917910447761194,0.999999999990909,5382140,3600,0,0,0,0,0.716417910447761,0.696969696969697,"3",FALSE
"BinOCT","spect",134,"4",0,3600,107,13.999999995,0.895522388059702,0.928571428539286,1230318,3600,0,0,0,0,0.791044776119403,0.772727272727273,"4",FALSE
"BinOCT","spect",134,"4",0,3600,107,11.999999995,0.91044776119403,0.967391304326179,1259475,3600,0,0,0,0,0.761194029850746,0.712121212121212,"5",FALSE
"BinOCT","spect",134,"5",0,3600,107,8.999999995,0.932835820895522,0.999999999988889,2825859,3600,0,0,0,0,0.656716417910448,0.742424242424242,"1",FALSE
"BinOCT","spect",134,"5",0,3600,107,7.999999998,0.940298507462687,0.9999999999875,1669705,3600,0,0,0,0,0.746268656716418,0.696969696969697,"2",FALSE
"BinOCT","spect",134,"5",0,3600,107,8.999999998,0.932835820895522,0.555555555450617,1174305,3600,0,0,0,0,0.716417910447761,0.666666666666667,"3",FALSE
"BinOCT","spect",134,"5",0,3600,107,9.999999996,0.925373134328358,0.971929824540458,649082,3600,0,0,0,0,0.791044776119403,0.727272727272727,"4",FALSE
"BinOCT","spect",134,"5",0,3600,107,7.99999999408654,0.940298507462687,0.874999999896665,882081,3600,0,0,0,0,0.746268656716418,0.712121212121212,"5",FALSE
"BinOCT","breast-cancer",138,"2",0,3600,101,32,0.768115942028985,0,18215,11.4911992549896,0,0,0,0,0.742857142857143,0.753623188405797,"1",FALSE
"BinOCT","breast-cancer",138,"2",0,3600,101,27,0.804347826086957,0,33125,14.6805791854858,0,0,0,0,0.657142857142857,0.739130434782609,"2",FALSE
"BinOCT","breast-cancer",138,"2",0,3600,101,29,0.789855072463768,0,19166,11.3674273490906,0,0,0,0,0.685714285714286,0.768115942028985,"3",FALSE
"BinOCT","breast-cancer",138,"2",0,3600,101,28,0.797101449275362,0,17116,11.6090738773346,0,0,0,0,0.771428571428571,0.72463768115942,"4",FALSE
"BinOCT","breast-cancer",138,"2",0,3600,101,24,0.826086956521739,0,12720,9.60547113418579,0,0,0,0,0.714285714285714,0.666666666666667,"5",FALSE
"BinOCT","breast-cancer",138,"3",0,3600,107,26.999999997,0.804347826086957,0.999999999996296,4094203,3600,0,0,0,0,0.628571428571429,0.72463768115942,"1",FALSE
"BinOCT","breast-cancer",138,"3",0,3600,107,19.999999994,0.855072463768116,0.999999999995,4500353,3600,0,0,0,0,0.642857142857143,0.72463768115942,"2",FALSE
"BinOCT","breast-cancer",138,"3",0,3600,107,23.999999996,0.826086956521739,0.999999999995833,5505870,3600,0,0,0,0,0.6,0.739130434782609,"3",FALSE
